,year,Largest company,Top three,Top five
0,2010,18.863829787234042,37.800000000000004,48.67659574468086
1,2011,18.278622898318655,37.90632506004804,48.79503602882306
2,2012,18.997262534218322,38.5907676154048,49.69812877339033
3,2013,17.866441488987405,38.15002462880867,50.55590739567941
4,2014,17.238788127198827,38.75397069371862,51.29623936878779
5,2015,16.920261941448384,38.18053415511043,52.552003081664104
6,2016,16.592195412570746,38.61673030573834,51.30392395807945
7,2017,15.378180550714534,37.67630998024863,50.83769025212036
8,2018,15.94918101637967,37.35195296094077,50.942881142377146
9,2019,15.002524997475003,38.07494192505808,49.782850217149786
10,2020,15.795429728602908,37.54094780519763,47.89453830729218
11,2021,11.961262292091604,33.89549441984644,44.55997214068952
12,2022,10.853669027614487,30.78886244372437,42.14435236429329
13,2023,10.76182471154581,28.48934056697486,41.737602200657136
14,2024,15.748753786918684,35.504701210606996,48.63188132913302
